week_day sin_time cos_time 400,500-max 400,500-min 400,500-mean 400,500-median 400,500-std 400,500-sum 800,900-max 800,900-min 800,900-mean 800,900-median 800,900-std 800,900-sum 2400,2500-max 2400,2500-min 2400,2500-mean 2400,2500-median 2400,2500-std 2400,2500-sum 2400,2410-max 2400,2410-min 2400,2410-mean 2400,2410-median 2400,2410-std 2400,2410-sum 2405,2415-max 2405,2415-min 2405,2415-mean 2405,2415-median 2405,2415-std 2405,2415-sum 2410,2420-max 2410,2420-min 2410,2420-mean 2410,2420-median 2410,2420-std 2410,2420-sum 2415,2425-max 2415,2425-min 2415,2425-mean 2415,2425-median 2415,2425-std 2415,2425-sum 2420,2430-max 2420,2430-min 2420,2430-mean 2420,2430-median 2420,2430-std 2420,2430-sum 2425,2435-max 2425,2435-min 2425,2435-mean 2425,2435-median 2425,2435-std 2425,2435-sum 2430,2440-max 2430,2440-min 2430,2440-mean 2430,2440-median 2430,2440-std 2430,2440-sum 2435,2445-max 2435,2445-min 2435,2445-mean 2435,2445-median 2435,2445-std 2435,2445-sum 2440,2450-max 2440,2450-min 2440,2450-mean 2440,2450-median 2440,2450-std 2440,2450-sum 2445,2455-max 2445,2455-min 2445,2455-mean 2445,2455-median 2445,2455-std 2445,2455-sum 2450,2460-max 2450,2460-min 2450,2460-mean 2450,2460-median 2450,2460-std 2450,2460-sum 2455,2465-max 2455,2465-min 2455,2465-mean 2455,2465-median 2455,2465-std 2455,2465-sum 2460,2470-max 2460,2470-min 2460,2470-mean 2460,2470-median 2460,2470-std 2460,2470-sum 2465,2475-max 2465,2475-min 2465,2475-mean 2465,2475-median 2465,2475-std 2465,2475-sum 2470,2480-max 2470,2480-min 2470,2480-mean 2470,2480-median 2470,2480-std 2470,2480-sum 2475,2485-max 2475,2485-min 2475,2485-mean 2475,2485-median 2475,2485-std 2475,2485-sum 2401,2423-max 2401,2423-min 2401,2423-mean 2401,2423-median 2401,2423-std 2401,2423-sum 2426,2448-max 2426,2448-min 2426,2448-mean 2426,2448-median 2426,2448-std 2426,2448-sum 2451,2473-max 2451,2473-min 2451,2473-mean 2451,2473-median 2451,2473-std 2451,2473-sum act_0 act_1 act_2 act_3 sec
1 0.01410761011797934 0.9999004827165346 -49.407752990722656 -92.12806701660156 -68.96154824920654 -68.67363357543945 3.7986412510634553 -1724038.7062301636 -51.2396125793457 -93.63542938232422 -68.68946420349121 -68.64897918701172 4.4165003868608 -1717236.6050872803 -56.04505920410156 -91.37997436523438 -69.5522009199524 -69.1894760131836 3.6381817235502103 -1738805.0229988098 -60.120933532714844 -85.38884735107422 -69.74121394653321 -69.39090728759766 3.5835174492865236 -174353.034866333 -60.120933532714844 -85.38884735107422 -69.59906653442383 -69.30068969726562 3.5807569179059966 -173997.66633605957 -59.65149688720703 -85.3285903930664 -69.65693908081055 -69.36304473876953 3.4963839621171036 -174142.34770202637 -59.65149688720703 -85.3285903930664 -69.76734827728272 -69.4529037475586 3.531640337504319 -174418.3706932068 -60.823402404785156 -85.89883422851562 -69.62563950347901 -69.27536392211914 3.571786601609284 -174064.0987586975 -56.04505920410156 -85.89883422851562 -69.46235010223388 -69.0563850402832 3.647015370976562 -173655.87525558472 -56.04505920410156 -88.09246826171875 -69.3196898513794 -68.93235397338867 3.7780366347467034 -173299.2246284485 -59.22016525268555 -88.09246826171875 -69.29956606750488 -68.93116760253906 3.7527383349888113 -173248.9151687622 -60.707061767578125 -87.50169372558594 -69.47206706237793 -69.0852165222168 3.7018982638150115 -173680.16765594482 -60.88848114013672 -87.50169372558594 -69.58023331604004 -69.22066116333008 3.658633010109362 -173950.5832901001 -57.80372619628906 -87.52715301513672 -69.4306247894287 -69.08428192138672 3.683404343516652 -173576.56197357178 -57.80372619628906 -87.52715301513672 -69.22768578186034 -68.90838623046875 3.7214479000061047 -173069.21445465088 -58.89756393432617 -86.74510192871094 -69.16853839874267 -68.84170532226562 3.6844297226389884 -172921.3459968567 -59.92495346069336 -86.74510192871094 -69.50455757751465 -69.14811325073242 3.664812999758977 -173761.39394378662 -60.959529876708984 -85.14515686035156 -69.83319640655517 -69.45083236694336 3.5893544484598143 -174582.99101638794 -61.050811767578125 -87.50163269042969 -69.64529029846192 -69.27118301391602 3.554151048384597 -174113.22574615479 -59.65149688720703 -85.38884735107422 -69.69367864088579 -69.3651237487793 3.5385558195323084 -383315.2325248718 -56.04505920410156 -88.09246826171875 -69.42343398284912 -69.02123260498047 3.727880482525844 -381828.88690567017 -57.80372619628906 -87.52715301513672 -69.43277950217507 -69.09451675415039 3.6907888090002414 -381880.2872619629 1 0 1 0 194
1 0.014325754225708674 0.9998973811176148 -40.384307861328125 -97.72537994384766 -68.96309795578003 -68.6617546081543 3.8374580483098724 -1724077.4488945007 -51.686241149902344 -105.0 -68.66856984054566 -68.69609451293945 4.504119516704956 -1716714.2460136414 -57.751983642578125 -94.35533905029297 -69.6156571586609 -69.25225448608398 3.6257583108118756 -1740391.4289665222 -61.3237419128418 -90.73220825195312 -69.85229606933594 -69.4620475769043 3.595279306829823 -174630.74017333984 -60.67283248901367 -89.58688354492188 -69.61594687194824 -69.2143669128418 3.536488850333595 -174039.8671798706 -60.67283248901367 -91.11344909667969 -69.57204037628173 -69.2661247253418 3.5208637591820335 -173930.10094070435 -61.1063346862793 -91.11344909667969 -69.64659229736328 -69.35786437988281 3.529410529564619 -174116.4807434082 -61.1063346862793 -90.07823944091797 -69.71593308105469 -69.2951774597168 3.600572157523594 -174289.83270263672 -59.068153381347656 -94.35533905029297 -69.6689738067627 -69.3176383972168 3.616485100962066 -174172.43451690674 -58.07257843017578 -94.35533905029297 -69.51826751708984 -69.29124069213867 3.702027261912359 -173795.6687927246 -58.07257843017578 -85.77533721923828 -69.4944113067627 -69.22411727905273 3.7600469400803305 -173736.02826690674 -59.0507698059082 -85.77533721923828 -69.49880068206787 -69.12298965454102 3.6683450063950747 -173747.00170516968 -59.0507698059082 -88.25022888183594 -69.49282909698486 -69.12893676757812 3.630265949866211 -173732.07274246216 -59.28264236450195 -88.25022888183594 -69.50491265563964 -69.22457504272461 3.6661390145060544 -173762.28163909912 -57.751983642578125 -86.88549041748047 -69.28949413604737 -69.00865173339844 3.7111005348370396 -173223.7353401184 -57.751983642578125 -90.51592254638672 -69.45528798065186 -69.13233184814453 3.678089152642681 -173638.21995162964 -59.8067741394043 -90.51592254638672 -69.8276035446167 -69.35629272460938 3.594808777450401 -174569.00886154175 -61.13459777832031 -87.90892791748047 -69.76525895843506 -69.32015228271484 3.507631427689908 -174413.14739608765 -61.28155517578125 -87.83079528808594 -69.7547656906128 -69.3188591003418 3.559864681518104 -174386.91422653198 -60.67283248901367 -91.11344909667969 -69.68312285822088 -69.33496856689453 3.551371153487383 -383257.17572021484 -58.07257843017578 -94.35533905029297 -69.57818312142112 -69.23817825317383 3.6916761737854094 -382680.00716781616 -57.751983642578125 -90.51592254638672 -69.59297826177423 -69.2459831237793 3.6630361555195297 -382761.3804397583 1 0 1 0 197
1 0.014616611973556001 0.999893171621056 -43.037532806396484 -90.4144287109375 -69.00898419723511 -68.69011688232422 3.832708782068975 -1725224.6049308777 -51.223175048828125 -97.1754379272461 -68.8134073777771 -68.75651550292969 4.407054260305334 -1720335.1844444275 -55.00169372558594 -93.33442687988281 -69.57256326080322 -69.21747207641602 3.6335868310525137 -1739314.0815200806 -61.29827117919922 -89.80012512207031 -69.74795094604492 -69.37868881225586 3.5815752703452635 -174369.8773651123 -60.94029235839844 -89.80012512207031 -69.6372126159668 -69.29964065551758 3.543548322142924 -174093.031539917 -60.15032196044922 -88.43302154541016 -69.6200401473999 -69.19051742553711 3.526499192528196 -174050.10036849976 -60.15032196044922 -86.0713882446289 -69.70047292633056 -69.23698043823242 3.5645756375777564 -174251.18231582642 -60.3913459777832 -93.33442687988281 -69.78508352508545 -69.36084747314453 3.6222473006821896 -174462.70881271362 -59.029170989990234 -93.33442687988281 -69.48387864837646 -69.06547927856445 3.510597732330764 -173709.69662094116 -55.00169372558594 -89.23668670654297 -69.18745564422608 -68.8985710144043 3.6360223921057897 -172968.6391105652 -55.00169372558594 -89.23668670654297 -69.37541058044434 -69.14279174804688 3.7576919891481624 -173438.52645111084 -58.25246810913086 -91.624267578125 -69.55911527252198 -69.26681137084961 3.6751481101511763 -173897.78818130493 -59.99659729003906 -91.624267578125 -69.56034898529053 -69.23464584350586 3.6625793457546503 -173900.87246322632 -58.96707534790039 -91.20457458496094 -69.57733368682861 -69.20986557006836 3.749582280697279 -173943.33421707153 -58.84465789794922 -91.20457458496094 -69.5278352355957 -69.20009231567383 3.8895501510609627 -173819.58808898926 -58.84465789794922 -88.18145751953125 -69.49645551452636 -69.2064323425293 3.7548127034886467 -173741.13878631592 -60.40966796875 -86.4894790649414 -69.56272530822754 -69.18266296386719 3.582628978574798 -173906.81327056885 -60.93039321899414 -86.46406555175781 -69.6704660018921 -69.28721618652344 3.563526293084429 -174176.16500473022 -59.165218353271484 -86.4312744140625 -69.64498219451905 -69.24935531616211 3.5410353609243805 -174112.4554862976 -60.15032196044922 -89.80012512207031 -69.67123344074597 -69.2753791809082 3.553199270077736 -383191.7839241028 -55.00169372558594 -93.33442687988281 -69.428223777771 -69.10890579223633 3.6133046650113916 -381855.2307777405 -58.84465789794922 -91.20457458496094 -69.54942765530673 -69.20462417602539 3.717681354641358 -382521.852104187 1 0 1 0 201
1 0.01490746848460483 0.9998888775175873 -53.46553421020508 -91.7331771850586 -68.96059843582154 -68.64883804321289 3.818358377662345 -1724014.9608955383 -51.251434326171875 -92.81774139404297 -68.727604556427 -68.65657806396484 4.424345669028332 -1718190.113910675 -43.31813049316406 -89.19009399414062 -69.6135535974121 -69.26397323608398 3.6603893823839053 -1740338.8399353027 -60.588138580322266 -85.7428207397461 -69.76273352966308 -69.40376663208008 3.6373904632981167 -174406.83382415771 -59.8673210144043 -85.7428207397461 -69.6047750076294 -69.23039245605469 3.599095695690013 -174011.9375190735 -59.8673210144043 -85.11213684082031 -69.51321304779053 -69.11983108520508 3.549505084334857 -173783.03261947632 -61.1030158996582 -85.1784896850586 -69.72327934417724 -69.34059524536133 3.5818454835540208 -174308.19836044312 -59.599578857421875 -85.1784896850586 -69.63539985351562 -69.25590896606445 3.5838014293579388 -174088.49963378906 -59.599578857421875 -83.59669494628906 -69.38103808288574 -68.98852157592773 3.554809638506396 -173452.59520721436 -59.38914108276367 -86.82001495361328 -69.25310833282471 -68.92405319213867 3.6469027218075 -173132.77083206177 -59.38914108276367 -86.82001495361328 -69.32439201965332 -68.99520874023438 3.659212856476436 -173310.9800491333 -59.54441452026367 -86.66641235351562 -69.65387648162842 -69.30960845947266 3.598951374474349 -174134.69120407104 -59.54441452026367 -86.66641235351562 -69.84588032073975 -69.50322723388672 3.6575821028782265 -174614.70080184937 -58.62480926513672 -85.29136657714844 -69.63278173522949 -69.3199462890625 3.796671824563976 -174081.95433807373 -58.62480926513672 -88.01919555664062 -69.29736518554688 -69.04103088378906 3.859460896855419 -173243.4129638672 -58.929569244384766 -88.01919555664062 -69.41690513305664 -69.12205505371094 3.7363143566569907 -173542.2628326416 -58.24100875854492 -88.2855224609375 -69.72154092712402 -69.34624099731445 3.5948445872820356 -174303.85231781006 -43.31813049316406 -88.2855224609375 -69.71408928375244 -69.35185241699219 3.7329316277955567 -174285.2232093811 -43.31813049316406 -86.26758575439453 -69.72731211853028 -69.35147857666016 3.795102205477316 -174318.28029632568 -59.8673210144043 -85.7428207397461 -69.67657990542325 -69.27663040161133 3.5891795068544505 -383221.1894798279 -59.38914108276367 -86.82001495361328 -69.40402874478427 -69.05325317382812 3.600261185645082 -381722.1580963135 -58.62480926513672 -88.01919555664062 -69.58074489316073 -69.27468490600586 3.716458629404319 -382694.09691238403 1 0 1 0 205
1 0.01512561004143732 0.9998856014169193 -49.95543670654297 -89.60601043701172 -68.94017150985718 -68.62466812133789 3.792760495939814 -1723504.2877464294 -51.16173553466797 -93.51750946044922 -68.68591067672729 -68.70651626586914 4.456386774001973 -1717147.7669181824 -52.10138702392578 -91.97175598144531 -69.51426754867553 -69.19402313232422 3.687916038026536 -1737856.6887168884 -61.124481201171875 -87.3094482421875 -69.54342675323487 -69.26717758178711 3.540343313016909 -173858.56688308716 -61.48200607299805 -91.97175598144531 -69.64463111877441 -69.32741928100586 3.5617494799026113 -174111.57779693604 -59.91205978393555 -91.97175598144531 -69.70012703704835 -69.3155632019043 3.6181473987414092 -174250.31759262085 -52.10138702392578 -88.48896789550781 -69.62812573547363 -69.23456573486328 3.680487049451978 -174070.31433868408 -52.10138702392578 -90.23815155029297 -69.5230602508545 -69.17852401733398 3.650652315577652 -173807.65062713623 -56.348785400390625 -90.23815155029297 -69.46528460235595 -69.02132797241211 3.7563244982335444 -173663.2115058899 -56.348785400390625 -87.02410125732422 -69.04716785125733 -68.64805603027344 4.030053635157613 -172617.9196281433 -56.42218780517578 -87.02410125732422 -68.83920829315186 -68.5634536743164 3.868957842622365 -172098.02073287964 -58.604209899902344 -84.80561065673828 -69.29810717620849 -69.05824661254883 3.5803706613835944 -173245.26794052124 -60.38090515136719 -91.51788330078125 -69.64668351593018 -69.36891174316406 3.6476099836279547 -174116.70878982544 -60.166900634765625 -91.51788330078125 -69.56580733642578 -69.26466751098633 3.751079511413526 -173914.51834106445 -58.44655227661133 -88.80097961425781 -69.32050647277832 -68.99969863891602 3.764188091200923 -173301.2661819458 -58.44655227661133 -84.464111328125 -69.35054625091553 -69.13280487060547 3.717763638212267 -173376.36562728882 -60.10132598876953 -85.08446502685547 -69.64887267913818 -69.39350509643555 3.572941727800457 -174122.18169784546 -58.567054748535156 -85.08446502685547 -69.76027140960693 -69.43152236938477 3.554724275492186 -174400.67852401733 -58.567054748535156 -87.47045135498047 -69.71543694152832 -69.39999389648438 3.669764654106578 -174288.5923538208 -52.10138702392578 -91.97175598144531 -69.61128526583585 -69.28865432739258 3.581834764642311 -382862.06896209717 -56.348785400390625 -90.23815155029297 -69.16794315476851 -68.85292434692383 3.793076078648247 -380423.6873512268 -58.44655227661133 -91.51788330078125 -69.52711307664352 -69.26113510131836 3.6865890033680286 -382399.1219215393 1 0 1 0 208
1 0.015416464328868378 0.9998811592522368 -52.581932067871094 -99.16610717773438 -68.99609218719482 -68.68169021606445 3.8263028063818663 -1724902.3046798706 -51.46189880371094 -91.43171691894531 -68.89402094482422 -68.79538345336914 4.315979656688304 -1722350.5236206055 -45.67510223388672 -92.9969253540039 -69.48034893432617 -69.11676788330078 3.7001028047449522 -1737008.7233581543 -58.488704681396484 -86.27806854248047 -69.56592040100098 -69.1170539855957 3.6060724880845925 -173914.80100250244 -58.488704681396484 -86.51580047607422 -69.61750097808837 -69.194580078125 3.5946896949822214 -174043.75244522095 -60.57575607299805 -87.57203674316406 -69.76658173980712 -69.33469772338867 3.5983461117288025 -174416.45434951782 -61.09716033935547 -87.57203674316406 -69.83222389678956 -69.3873405456543 3.517052355061726 -174580.55974197388 -58.24541473388672 -85.41402435302734 -69.80728036499023 -69.39241790771484 3.611222239661601 -174518.2009124756 -58.24541473388672 -85.41402435302734 -69.48820579528808 -69.18745040893555 3.757253941148811 -173720.51448822021 -55.94548034667969 -85.13029479980469 -68.63143012542724 -68.42945098876953 3.821188371688617 -171578.57531356812 -55.94548034667969 -91.31058502197266 -68.5512014755249 -68.17061614990234 3.8184432086631843 -171378.00368881226 -57.81754684448242 -91.31058502197266 -69.32713532104492 -69.02519226074219 3.803090963277521 -173317.8383026123 -59.26225662231445 -88.8849105834961 -69.5405869140625 -69.2125244140625 3.763280938773881 -173851.46728515625 -59.060298919677734 -90.58779907226562 -69.4866946838379 -69.14609909057617 3.67479021710557 -173716.73670959473 -57.13125991821289 -90.58779907226562 -69.28321926727295 -69.00257873535156 3.6834016204362676 -173208.04816818237 -57.13125991821289 -85.27377319335938 -69.3160610031128 -68.93879318237305 3.6631577360302456 -173290.15250778198 -47.45745849609375 -86.04642486572266 -69.61334657897949 -69.34164810180664 3.662611152495403 -174033.36644744873 -45.67510223388672 -86.04642486572266 -69.71296766357422 -69.41790771484375 3.8104719452121376 -174282.41915893555 -45.67510223388672 -85.11823272705078 -69.63907456970215 -69.13700485229492 3.777070606053814 -174097.68642425537 -58.488704681396484 -87.57203674316406 -69.69025384244051 -69.23801803588867 3.569215637492227 -383296.39613342285 -55.94548034667969 -91.31058502197266 -69.05417936012962 -68.77076721191406 3.807242793998694 -379797.9864807129 -57.13125991821289 -90.58779907226562 -69.4809137913097 -69.12667465209961 3.623604936354917 -382145.02585220337 1 0 1 0 212
1 0.015707317311820672 0.9998766324816606 -53.74876022338867 -94.42314910888672 -68.97671299758912 -68.69013595581055 3.804594595263915 -1724417.8249397278 -51.676788330078125 -90.28581237792969 -68.93383281478881 -68.80519104003906 4.29546493964653 -1723345.8203697205 -47.571292877197266 -94.3839111328125 -69.51133615646363 -69.18816375732422 3.660458311486149 -1737783.4039115906 -52.07590103149414 -89.97328186035156 -69.640919140625 -69.31109619140625 3.6377346755883653 -174102.2978515625 -47.571292877197266 -94.3839111328125 -69.47098045654297 -69.21776962280273 3.671167440019373 -173677.45114135742 -47.571292877197266 -94.3839111328125 -69.40362153320312 -69.09066390991211 3.726783710859591 -173509.0538330078 -60.35466766357422 -91.81499481201172 -69.5580591949463 -69.16232299804688 3.5747859544759897 -173895.14798736572 -60.35466766357422 -86.08727264404297 -69.58516122894287 -69.21837997436523 3.5432893803082344 -173962.90307235718 -58.32069778442383 -90.92633056640625 -69.56247410583497 -69.17268371582031 3.621662431203315 -173906.1852645874 -55.470767974853516 -90.92633056640625 -69.41754698028565 -69.11262130737305 3.70904721653049 -173543.8674507141 -55.470767974853516 -90.763916015625 -69.38205113677978 -69.15713119506836 3.719547614052677 -173455.12784194946 -60.12308120727539 -90.763916015625 -69.56266355438233 -69.28064727783203 3.6681451528299838 -173906.6588859558 -60.36589050292969 -87.11042022705078 -69.53434183807373 -69.21139907836914 3.6357983395537206 -173835.85459518433 -58.4202880859375 -87.66600036621094 -69.42604410552978 -69.09703063964844 3.7202254635880365 -173565.11026382446 -58.34295654296875 -87.66600036621094 -69.2283390991211 -69.00262451171875 3.7426376774783012 -173070.84774780273 -58.34295654296875 -85.72927856445312 -69.3489154083252 -69.08080673217773 3.7228811635448897 -173372.288520813 -60.34623336791992 -86.88099670410156 -69.6387109741211 -69.24462509155273 3.572524053647195 -174096.77743530273 -60.984622955322266 -86.88099670410156 -69.6326228729248 -69.25443649291992 3.5205580017375575 -174081.557182312 -60.81087875366211 -86.78184509277344 -69.63388578491211 -69.28659439086914 3.61286745219295 -174084.71446228027 -47.571292877197266 -94.3839111328125 -69.54086880770596 -69.2191390991211 3.650174840144419 -382474.7784423828 -55.470767974853516 -90.92633056640625 -69.52109642444957 -69.20512771606445 3.6806822454788994 -382366.03033447266 -58.34295654296875 -87.66600036621094 -69.48720669833097 -69.15884017944336 3.6905161317977297 -382179.6368408203 1 0 1 0 216
1 0.015998168965683405 0.999872021105574 -53.85136413574219 -92.73704528808594 -68.9316317993164 -68.60414123535156 3.8014177868226158 -1723290.7949829102 -40.77241134643555 -89.2973403930664 -68.81492258285522 -68.7169418334961 4.303972022250027 -1720373.0645713806 -57.8255500793457 -98.96292877197266 -69.47873047454834 -69.095703125 3.6579406411360997 -1736968.2618637085 -60.1275634765625 -85.88045501708984 -69.44012032775879 -69.0888557434082 3.5103971856498535 -173600.30081939697 -60.92216873168945 -87.59476470947266 -69.42572779846192 -69.08438110351562 3.521708495879372 -173564.31949615479 -60.92216873168945 -98.96292877197266 -69.54757413787841 -69.16360473632812 3.5760995867817416 -173868.93534469604 -61.250877380371094 -98.96292877197266 -69.74912956390381 -69.30196762084961 3.6665804983711783 -174372.82390975952 -60.78407287597656 -95.05565643310547 -69.62961121826172 -69.19034194946289 3.6482292849163516 -174074.0280456543 -60.62107467651367 -86.37297058105469 -69.5603060546875 -69.15522003173828 3.7219341867343774 -173900.76513671875 -57.8255500793457 -87.46636199951172 -69.35922556152343 -68.998779296875 3.907945416115157 -173398.0639038086 -57.8255500793457 -87.46636199951172 -69.18988119812012 -68.8643569946289 3.7363417670316337 -172974.7029953003 -58.78817367553711 -86.95156860351562 -69.33834745483398 -68.95108032226562 3.641091700402989 -173345.86863708496 -58.78817367553711 -86.95156860351562 -69.38691102752685 -69.01705169677734 3.6790350300727734 -173467.27756881714 -60.01995849609375 -89.63020324707031 -69.41167812652589 -69.09475326538086 3.724025669468435 -173529.1953163147 -58.67144775390625 -89.63020324707031 -69.23314762878418 -68.8597412109375 3.76734250034947 -173082.86907196045 -58.67144775390625 -88.04785919189453 -69.3464339263916 -68.89774322509766 3.744419139350406 -173366.084815979 -60.89398193359375 -88.04785919189453 -69.70514390869141 -69.29890441894531 3.6687946871716446 -174262.85977172852 -60.853782653808594 -88.0783462524414 -69.70020903015137 -69.36265182495117 3.6122795751307524 -174250.52257537842 -60.4683723449707 -88.0783462524414 -69.54712098693848 -69.16136169433594 3.5318522260636076 -173867.8024673462 -60.92216873168945 -98.96292877197266 -69.5219019317627 -69.13536071777344 3.5478332798075596 -382370.4606246948 -57.8255500793457 -87.46636199951172 -69.35577770510587 -68.98601150512695 3.7447029852587015 -381456.7773780823 -58.67144775390625 -89.63020324707031 -69.45175640036842 -69.08919906616211 3.7008062225936875 -381984.66020202637 1 0 1 0 220
1 0.016216306819060555 0.9998685070513773 -53.4082145690918 -90.87345123291016 -68.98594387252808 -68.68472290039062 3.7990837353524047 -1724648.596813202 -41.42420959472656 -93.65058135986328 -68.87546653961182 -68.76275634765625 4.319575310801638 -1721886.6634902954 -53.67955017089844 -96.54817199707031 -69.40014262283326 -69.06736755371094 3.6459012851821186 -1735003.5655708313 -60.78240966796875 -90.32096099853516 -69.58254417724609 -69.20592880249023 3.564717258484893 -173956.36044311523 -60.63711166381836 -87.82960510253906 -69.49731735229493 -69.09225463867188 3.6491209818549613 -173743.2933807373 -60.5865478515625 -87.82960510253906 -69.57105506286621 -69.14794921875 3.5340697781507786 -173927.63765716553 -60.5865478515625 -86.1412582397461 -69.59833532714843 -69.2075080871582 3.4296735075946443 -173995.8383178711 -59.422218322753906 -88.48893737792969 -69.52333304748535 -69.12149429321289 3.6853250593844313 -173808.33261871338 -57.15253829956055 -96.54817199707031 -69.27106517333985 -68.87544631958008 3.8004833668337676 -173177.6629333496 -53.67955017089844 -96.54817199707031 -68.87636201324463 -68.68270874023438 3.846378708293804 -172190.90503311157 -53.67955017089844 -88.15084838867188 -68.8986629486084 -68.72322463989258 3.8054430198760607 -172246.657371521 -59.78258514404297 -88.15084838867188 -69.33156374969482 -68.99778366088867 3.667425989594492 -173328.90937423706 -59.757415771484375 -88.0169906616211 -69.5188364578247 -69.12918090820312 3.6963325383133383 -173797.09114456177 -59.132503509521484 -88.0169906616211 -69.40468241119385 -69.09492492675781 3.6854994104018766 -173511.70602798462 -58.40506362915039 -88.39501190185547 -69.165420262146 -68.90450668334961 3.756488985671462 -172913.550655365 -58.40506362915039 -88.45100402832031 -69.17957621307373 -68.88268280029297 3.7311343628680933 -172948.94053268433 -60.442527770996094 -88.48408508300781 -69.44043427124024 -69.0672836303711 3.56470998839937 -173601.0856781006 -60.57218551635742 -88.48408508300781 -69.64491509857177 -69.24555969238281 3.5207383558645096 -174112.28774642944 -60.57218551635742 -85.768798828125 -69.55856028900146 -69.15558624267578 3.4991960592509606 -173896.40072250366 -60.5865478515625 -90.32096099853516 -69.58831558713047 -69.21574401855469 3.5215337844968877 -382735.73572921753 -53.67955017089844 -96.54817199707031 -69.11419046297941 -68.82637405395508 3.7831797288488165 -380128.0475463867 -58.40506362915039 -88.48408508300781 -69.36664478440719 -69.0444450378418 3.6719279438468724 -381516.5463142395 1 0 1 0 223
1 0.01650715608779714 0.9998637476165906 -53.25932312011719 -89.43912506103516 -68.99688104690551 -68.681884765625 3.8142173152920344 -1724922.026172638 -50.99436950683594 -93.73065185546875 -68.63651512771607 -68.6568717956543 4.4937586700314665 -1715912.8781929016 -57.55542755126953 -96.70247650146484 -69.43772867004394 -69.04965209960938 3.6585450946527183 -1735943.2167510986 -60.702762603759766 -89.96472930908203 -69.52823360595703 -69.09530258178711 3.637410167189143 -173820.58401489258 -60.702762603759766 -88.35822296142578 -69.4801890045166 -69.05515670776367 3.652092723512325 -173700.4725112915 -60.038902282714844 -88.35822296142578 -69.46110025482177 -69.1051139831543 3.592660865196552 -173652.75063705444 -60.038902282714844 -87.09026336669922 -69.58233874664306 -69.21139907836914 3.54992722019022 -173955.84686660767 -61.16233825683594 -87.09026336669922 -69.62578618164062 -69.13579559326172 3.614621598672236 -174064.46545410156 -60.75575637817383 -85.96572875976562 -69.4384665725708 -68.95130920410156 3.6625120442803603 -173596.166431427 -57.55542755126953 -83.62240600585938 -69.08789081115722 -68.7127685546875 3.7417359921558937 -172719.72702789307 -57.55542755126953 -84.92823791503906 -69.0448177230835 -68.73466491699219 3.724821102990121 -172612.04430770874 -58.5888557434082 -89.25970458984375 -69.46193411102296 -69.11484146118164 3.6634313786385295 -173654.83527755737 -58.5888557434082 -89.25970458984375 -69.66738533477783 -69.28275680541992 3.7889368040337823 -174168.46333694458 -58.485782623291016 -87.53809356689453 -69.35248645782471 -68.98288345336914 3.819562876855269 -173381.21614456177 -58.07312774658203 -87.53809356689453 -69.0413338256836 -68.72577667236328 3.711884406773107 -172603.33456420898 -58.07312774658203 -88.09003448486328 -69.24770926818847 -68.90528869628906 3.6632460819978716 -173119.2731704712 -59.68596267700195 -88.09003448486328 -69.42399161987305 -69.03259658813477 3.5848909310860915 -173559.97904968262 -59.76475524902344 -85.10818481445312 -69.50037439575195 -69.0958251953125 3.4960021637002523 -173750.93598937988 -60.26213836669922 -88.27007293701172 -69.62315635375977 -69.24603271484375 3.5356888922069967 -174057.8908843994 -60.038902282714844 -89.96472930908203 -69.50385021071 -69.12665557861328 3.6104031997107655 -382271.17615890503 -57.55542755126953 -86.07144927978516 -69.26754528531161 -68.92679214477539 3.6643121149292557 -380971.49906921387 -58.07312774658203 -88.09003448486328 -69.36463407897949 -68.9970474243164 3.7011042459183465 -381505.4874343872 1 0 1 0 227
